CLI-001,20600000001,CONSTRUCTORA GAMA S.A.C.,10452378,Ozzy Osbourne,Construcción Residencial,2022-05-15 00:00:00,850000.50
CLI-002,20600000002,INMOBILIARIA DEL SUR E.I.R.L.,20567123,James Hetfield,Inmobiliaria,2023-01-20 00:00:00,450000.00
CLI-003,10450000003,ARQUITECTURA MODERNA S.A.,30894567,Dave Mustaine,Arquitectura y Diseño,2024-03-10 00:00:00,120000.75
CLI-004,20600000004,ESTUDIOS DE INGENIERÍA PERUANA S.A.,40129834,Rob Halford,Infraestructura,2022-11-01 00:00:00,920000.00
CLI-005,10450000005,MUNICIPALIDAD DE LIMA,50673491,Bruce Dickinson,Sector Público,2023-07-25 00:00:00,350000.50
CLI-006,20600000006,BANCO FUTURO PERÚ,60348712,Angus Young,Financiero,2024-02-14 00:00:00,60000.00
CLI-007,20600000007,MINISTERIO DE EDUCACIÓN,70915623,Jimmy Page,Sector Público,2023-04-05 00:00:00,710000.00
CLI-008,10450000008,PROYECTOS INDUSTRIALES SAC,80236745,Slash,Industrial,2022-08-12 00:00:00,280000.00
CLI-009,20600000009,CLÍNICA SANTA MARÍA,90561289,Ronnie James Dio,Salud,2023-10-18 00:00:00,530000.90
CLI-010,10450000010,UNIVERSIDAD TECNOLÓGICA DEL PERÚ,11097845,Lemmy Kilmister,Educación Privada,2024-01-05 00:00:00,15000.00
CLI-011,20600000011,CONSORCIO VIAL NORTE,12563409,Biff Byford,Infraestructura,2022-06-28 00:00:00,1100000.00
CLI-012,10450000012,DISEÑO INTERIOR E.I.R.L.,13458901,Joey DeMaio,Arquitectura y Diseño,2024-04-01 00:00:00,30000.00
CLI-013,20600000013,SUPERMERCADOS METRO SAC,14902345,Klaus Meine,Retail,2023-09-02 00:00:00,490000.00
CLI-014,10450000014,CORPORACIÓN HOTELERA DEL PACÍFICO,15347890,Gene Simmons,Hotelería,2024-01-30 00:00:00,85000.00
CLI-015,20600000015,PETRÓLEOS PERUANOS S.A.,16782345,Vince Neil,Industrial,2022-03-03 00:00:00,1500000.00
CLI-016,10450000016,ESTUDIO DE ARQUITECTURA 2025,17236789,Zakk Wylde,Arquitectura y Diseño,2024-05-20 00:00:00,12000.00
CLI-017,20600000017,MUNICIPALIDAD DE CUSCO,18671234,Mick Mars,Sector Público,2023-06-19 00:00:00,300000.00
CLI-018,10450000018,TECH SOLUTIONS PERÚ SAC,19105678,Sebastian Bach,Tecnología,2024-03-01 00:00:00,45000.00
CLI-019,20600000019,AGROPECUARIA ANDINA S.A.,20459012,Lars Ulrich,Industrial,2023-08-08 00:00:00,610000.00
CLI-020,10450000020,CENTRO CULTURAL DEL PERÚ,21893456,David Lee Roth,Educación Privada,2024-02-28 00:00:00,20000.00
CLI-021,20600000021,CONSORCIO VIAL DEL SUR,22347890,Blackie Lawless,Infraestructura,2022-07-10 00:00:00,980000.00
